 (1.000000000000000056e-01+0.000000000000000000e+00j), (5.910000000000000142e+00+0.000000000000000000e+00j), (4.856709308781241852e-01+0.000000000000000000e+00j)
 (1.000000000000000056e-01+0.000000000000000000e+00j), (6.009999999999999787e+00+0.000000000000000000e+00j), (4.858732847763714280e-01+0.000000000000000000e+00j)
 (1.000000000000000056e-01+0.000000000000000000e+00j), (6.110000000000000320e+00+0.000000000000000000e+00j), (4.860700050975915731e-01+0.000000000000000000e+00j)
 (1.000000000000000056e-01+0.000000000000000000e+00j), (6.209999999999999964e+00+0.000000000000000000e+00j), (4.862613514822045624e-01+0.000000000000000000e+00j)
 (1.000000000000000056e-01+0.000000000000000000e+00j), (6.310000000000000497e+00+0.000000000000000000e+00j), (4.864474873075546602e-01+0.000000000000000000e+00j)
 (1.000000000000000056e-01+0.000000000000000000e+00j), (6.410000000000000142e+00+0.000000000000000000e+00j), (4.866286484855222305e-01+0.000000000000000000e+00j)
 (1.000000000000000056e-01+0.000000000000000000e+00j), (6.509999999999999787e+00+0.000000000000000000e+00j), (4.868050317547525374e-01+0.000000000000000000e+00j)
 (1.000000000000000056e-01+0.000000000000000000e+00j), (6.610000000000000320e+00+0.000000000000000000e+00j), (4.869768235509910337e-01+0.000000000000000000e+00j)
 (1.000000000000000056e-01+0.000000000000000000e+00j), (6.709999999999999964e+00+0.000000000000000000e+00j), (4.871442009814195284e-01+0.000000000000000000e+00j)
 (1.000000000000000056e-01+0.000000000000000000e+00j), (6.810000000000000497e+00+0.000000000000000000e+00j), (4.873073318024049305e-01+0.000000000000000000e+00j)
 (1.000000000000000056e-01+0.000000000000000000e+00j), (6.910000000000000142e+00+0.000000000000000000e+00j), (4.874663756098949197e-01+0.000000000000000000e+00j)
 (1.000000000000000056e-01+0.000000000000000000e+00j), (7.009999999999999787e+00+0.000000000000000000e+00j), (4.876214840568440789e-01+0.000000000000000000e+00j)
 (1.000000000000000056e-01+0.000000000000000000e+00j), (7.110000000000000320e+00+0.000000000000000000e+00j), (4.877728013789749961e-01+0.000000000000000000e+00j)
 (1.000000000000000056e-01+0.000000000000000000e+00j), (7.209999999999999964e+00+0.000000000000000000e+00j), (4.879204648707667902e-01+0.000000000000000000e+00j)
 (1.000000000000000056e-01+0.000000000000000000e+00j), (7.310000000000000497e+00+0.000000000000000000e+00j), (4.880646052226202958e-01+0.000000000000000000e+00j)
 (1.000000000000000056e-01+0.000000000000000000e+00j), (7.410000000000000142e+00+0.000000000000000000e+00j), (4.882053470230418024e-01+0.000000000000000000e+00j)
